transaction_id,merchant_id,product_id,amount,transaction_date,payment_mode,card_type
TXN00093,M003,P1786,1245,04-07-2023,Card,Amex
TXN00094,M002,P3528,3622,19-02-2023,UPI,Amex
TXN00095,M003,P1118,1684,21-07-2023,Card,Amex
TXN00096,M002,P4681,4681,02-01-2023,UPI,Amex
TXN00097,M003,P2993,3675,15-03-2023,UPI,Amex
TXN00098,M001,P2067,4461,07-10-2023,UPI,Visa
TXN00099,M002,P4847,2852,06-08-2023,UPI,Master
TXN00100,M003,P3265,3710,17-09-2023,Cash,Master
TXN00101,M002,P2441,3046,20-04-2023,UPI,NA
TXN00102,M003,P0653,4527,04-05-2023,Cash,Visa
TXN00103,M001,P3411,2301,10-03-2023,Cash,Amex
TXN00104,M001,P3599,4670,21-06-2023,UPI,Visa
TXN00105,M002,P3727,290,18-06-2023,Cash,Amex
TXN00106,M002,P2593,3222,02-11-2023,Cash,Master
TXN00107,M001,P4973,4469,02-11-2023,Card,Amex
TXN00108,M002,P1620,4599,08-11-2023,UPI,NA
TXN00109,M003,P4680,3304,11-06-2023,Card,Master
TXN00110,M002,P1266,1693,20-09-2023,UPI,NA
TXN00111,M001,P0434,1845,29-03-2023,Cash,Master
TXN00112,M002,P1315,2297,04-01-2023,Cash,Visa
TXN00113,M003,P0363,3928,20-06-2023,UPI,NA
TXN00114,M002,P3774,1353,25-11-2023,Cash,Visa
TXN00115,M003,P2359,1990,25-05-2023,UPI,NA
TXN00116,M003,P4533,2131,08-03-2023,UPI,NA
TXN00117,M003,P3972,1013,23-01-2023,Cash,Amex
TXN00118,M001,P3170,3729,10-01-2023,UPI,Amex
TXN00119,M001,P3310,4828,02-02-2023,Cash,Amex
TXN00120,M003,P1481,1675,14-06-2023,Cash,NA
TXN00121,M001,P1676,1971,13-12-2023,UPI,Master
TXN00122,M003,P2878,502,25-05-2023,Cash,Amex
TXN00123,M003,P4320,728,16-01-2023,Card,Visa
TXN00124,M001,P3101,3606,25-04-2023,Card,NA
TXN00125,M002,P1534,185,04-02-2023,Card,Amex
TXN00126,M001,P4481,475,27-12-2023,Cash,Amex
TXN00127,M001,P1607,2948,20-09-2023,Card,NA
TXN00128,M001,P3452,3016,04-11-2023,UPI,Master
TXN00129,M002,P2749,4611,09-11-2023,Card,Master
TXN00130,M003,P2239,2754,06-08-2023,Cash,Visa
TXN00131,M001,P1143,4123,13-05-2023,UPI,Amex
TXN00132,M003,P3706,2642,06-03-2023,Cash,NA
TXN00133,M001,P1490,1789,25-10-2023,UPI,NA
TXN00134,M003,P0535,1560,13-12-2023,UPI,Master
TXN00135,M002,P2474,3061,25-01-2023,Cash,NA
TXN00136,M001,P0833,2933,15-07-2023,Card,Visa
TXN00137,M003,P4596,1341,28-06-2023,UPI,Master
TXN00138,M003,P3839,3435,05-05-2023,Card,NA
TXN00139,M002,P0792,2427,06-08-2023,UPI,Amex
TXN00140,M001,P0055,126,10-04-2023,UPI,Master
TXN00141,M003,P0862,1465,24-05-2023,UPI,Amex
TXN00142,M003,P2858,4916,08-02-2023,Card,Visa
TXN00143,M003,P0964,4073,12-07-2023,Cash,Amex
TXN00144,M002,P1112,432,19-12-2023,Card,Amex
TXN00145,M002,P4730,1992,28-10-2023,UPI,Visa
TXN00146,M003,P4693,1191,10-11-2023,UPI,Visa
TXN00147,M002,P3057,579,07-09-2023,Cash,NA
TXN00148,M002,P3503,4229,22-03-2023,Cash,Visa
TXN00149,M001,P0427,1200,28-02-2023,UPI,Master
TXN00150,M002,P0720,1676,20-08-2023,Cash,Visa
TXN00151,M003,P0393,4399,02-08-2023,Card,Visa
TXN00152,M002,P1507,219,13-07-2023,Card,NA
TXN00153,M002,P0457,3706,19-11-2023,Card,Visa
TXN00154,M001,P1331,4830,07-11-2023,UPI,Visa
TXN00155,M002,P4511,4957,20-09-2023,Cash,NA
TXN00156,M003,P1274,3926,10-01-2023,Card,Master
TXN00157,M002,P4052,2135,15-08-2023,Cash,NA
TXN00158,M002,P1287,597,11-01-2023,Cash,Amex
TXN00159,M003,P4729,1306,25-10-2023,Cash,Visa
TXN00160,M002,P0483,2504,21-11-2023,Cash,NA
TXN00161,M001,P1658,163,09-08-2023,UPI,Master
TXN00162,M002,P0534,1294,07-10-2023,UPI,NA
TXN00163,M001,P3491,1289,11-02-2023,Cash,NA
TXN00164,M001,P3652,3221,29-03-2023,Card,Amex
TXN00165,M001,P2054,4396,23-06-2023,Card,NA
TXN00166,M002,P1008,3382,07-08-2023,Cash,NA
TXN00167,M001,P4623,1736,08-12-2023,Card,Amex
TXN00168,M002,P3882,4301,23-10-2023,Card,NA
TXN00169,M001,P1797,3664,22-04-2023,Cash,Visa
TXN00170,M002,P2761,4541,31-10-2023,Cash,Amex
TXN00171,M003,P2653,242,29-07-2023,Card,Master
TXN00172,M001,P3237,594,26-11-2023,Card,Amex
TXN00173,M003,P4895,3619,07-06-2023,Card,NA
TXN00174,M003,P4408,3035,15-08-2023,Card,Visa
TXN00175,M002,P1397,1518,07-05-2023,Cash,Amex
TXN00176,M001,P2590,3553,01-11-2023,Cash,Amex
TXN00177,M003,P1410,4783,05-05-2023,UPI,Amex
TXN00178,M002,P3242,3327,05-05-2023,Card,NA
TXN00179,M002,P3859,4375,10-09-2023,Cash,NA
TXN00180,M002,P4242,1256,03-12-2023,Cash,Amex
TXN00181,M002,P2845,1363,22-03-2023,Cash,Amex
TXN00182,M001,P4052,4600,15-09-2023,Cash,Master
TXN00183,M002,P1348,1293,10-07-2023,UPI,Master
TXN00184,M003,P0184,225,27-12-2023,Card,Amex
TXN00185,M002,P4341,2623,03-01-2023,UPI,NA
TXN00186,M001,P2925,4744,14-08-2023,Cash,Visa
TXN00187,M001,P2859,3703,10-12-2023,Card,Amex
TXN00188,M003,P2581,3252,23-12-2023,Card,Master
TXN00189,M002,P1944,1765,06-03-2023,UPI,Amex
TXN00190,M002,P1896,1332,28-10-2023,Card,Visa
TXN00191,M002,P2749,444,02-05-2023,Cash,Amex
TXN00192,M002,P2294,2222,08-05-2023,Cash,Visa
TXN00193,M001,P4799,2292,01-01-2024,UPI,NA
TXN00194,M002,P4690,852,17-07-2023,Card,NA
TXN00195,M003,P0282,725,04-12-2023,UPI,Master
TXN00196,M002,P0400,4870,19-04-2023,UPI,NA
TXN00197,M003,P4335,4399,26-11-2023,Cash,Master
TXN00198,M003,P2307,2510,04-10-2023,UPI,Amex
TXN00199,M002,P4107,3983,02-11-2023,Cash,Visa
TXN00200,M002,P4784,4940,09-11-2023,Cash,Visa
TXN00201,M003,P0037,1061,29-08-2023,UPI,Amex
TXN00202,M003,P1593,3201,17-02-2023,UPI,NA
TXN00203,M001,P3390,2816,17-04-2023,Cash,Master
TXN00204,M002,P3219,3073,24-05-2023,Card,Master
TXN00205,M003,P2368,4901,22-11-2023,Cash,Visa
TXN00206,M003,P0415,4643,02-12-2023,Cash,Visa
TXN00207,M001,P2294,1030,03-08-2023,UPI,Amex
TXN00208,M003,P1186,3248,11-03-2023,UPI,Visa
TXN00209,M003,P2615,4709,14-08-2023,UPI,NA
TXN00210,M001,P0597,3531,23-02-2023,Cash,Master
TXN00211,M003,P4444,3201,20-12-2023,Card,Amex
TXN00212,M001,P0414,3248,18-12-2023,Card,NA
TXN00213,M002,P2923,3733,18-12-2023,Card,Visa
TXN00214,M001,P2399,3582,27-03-2023,Cash,NA
TXN00215,M001,P4158,2742,12-11-2023,UPI,Amex
TXN00216,M001,P1338,178,02-10-2023,UPI,NA
TXN00217,M002,P3366,2433,01-04-2023,Card,Amex
TXN00218,M003,P1771,2945,12-10-2023,Cash,Master
TXN00219,M002,P0724,549,27-02-2023,Cash,Visa
TXN00220,M002,P0360,3073,08-06-2023,Card,Master
TXN00221,M001,P0355,3668,17-12-2023,Card,NA
TXN00222,M003,P1372,4240,15-03-2023,Card,Amex
TXN00223,M002,P1847,1682,20-10-2023,Card,NA
TXN00224,M002,P2031,1028,25-08-2023,Cash,Amex
TXN00225,M003,P4444,251,30-04-2023,Cash,Visa
TXN00226,M003,P2945,2983,17-09-2023,UPI,NA
TXN00227,M003,P0809,1397,10-11-2023,Card,Amex
TXN00228,M002,P3973,2447,12-10-2023,UPI,NA
TXN00229,M001,P2473,814,12-04-2023,Cash,Master
TXN00230,M002,P2688,4066,16-01-2023,UPI,NA
TXN00231,M003,P4255,761,08-08-2023,Card,Master
TXN00232,M001,P3398,1096,30-04-2023,Cash,Amex
TXN00233,M001,P3053,570,17-03-2023,Cash,Visa
TXN00234,M002,P0028,4963,25-05-2023,Cash,Master
TXN00235,M003,P1165,4210,23-04-2023,Cash,Amex
TXN00236,M002,P0840,2027,24-12-2023,Cash,NA
TXN00237,M003,P1726,200,23-08-2023,Cash,NA
TXN00238,M002,P4907,4931,23-07-2023,Cash,Visa
TXN00239,M001,P0261,4863,09-03-2023,UPI,NA
TXN00240,M003,P4578,3856,08-10-2023,Card,Master
TXN00241,M001,P1193,4981,16-09-2023,UPI,NA
TXN00242,M002,P4583,1782,29-09-2023,UPI,Visa
TXN00243,M002,P3983,4624,25-06-2023,UPI,NA
TXN00244,M002,P3830,2153,27-10-2023,Cash,NA
TXN00245,M001,P3381,684,04-10-2023,Cash,Master
TXN00246,M002,P2161,541,18-09-2023,Card,Master
TXN00247,M003,P4838,2439,25-01-2023,UPI,Amex
TXN00248,M001,P2739,2690,10-12-2023,Card,Master
TXN00249,M002,P3102,3381,15-03-2023,UPI,Amex
TXN00250,M003,P2290,1426,08-07-2023,UPI,Amex
TXN00251,M001,P2682,3535,08-02-2023,Card,Master
TXN00252,M003,P4964,2413,29-04-2023,Card,Master
TXN00253,M003,P2795,4144,09-09-2023,Card,Visa
TXN00254,M001,P2726,3392,25-04-2023,Cash,Amex
TXN00255,M001,P4072,2802,12-11-2023,UPI,NA
TXN00256,M002,P4201,2461,31-08-2023,Card,Master
TXN00257,M003,P4845,4025,18-12-2023,Card,Amex
TXN00258,M001,P2228,4728,04-10-2023,UPI,NA
TXN00259,M001,P4535,492,29-11-2023,Card,NA
TXN00260,M003,P4575,1376,24-07-2023,Card,Master
TXN00261,M001,P0253,1812,04-11-2023,Card,Visa
TXN00262,M002,P0066,1526,21-01-2023,UPI,Amex
TXN00263,M001,P1718,4215,12-09-2023,Card,Master
TXN00264,M002,P4466,1659,26-03-2023,Card,NA
TXN00265,M001,P4070,3446,19-07-2023,UPI,Master
TXN00266,M001,P3854,4676,30-04-2023,Card,Visa
TXN00267,M002,P3440,643,31-10-2023,UPI,Master
TXN00268,M002,P3870,778,25-01-2023,UPI,Amex
TXN00269,M003,P4253,4157,18-11-2023,UPI,Visa
TXN00270,M002,P2762,2660,06-09-2023,UPI,Master
TXN00271,M001,P4414,309,24-11-2023,Card,NA
TXN00272,M002,P2669,3713,14-11-2023,Cash,NA
TXN00273,M001,P3573,2328,21-01-2023,Cash,Amex
TXN00274,M002,P1223,2463,16-08-2023,Card,Amex
TXN00275,M003,P0793,832,11-05-2023,UPI,NA
TXN00276,M001,P3935,2980,05-03-2023,Card,NA
TXN00277,M003,P3703,322,04-12-2023,UPI,NA
TXN00278,M001,P3607,1454,06-08-2023,Card,Amex
TXN00279,M003,P0761,4810,25-01-2023,Cash,Master
TXN00280,M002,P4125,4558,13-04-2023,Cash,Amex
TXN00281,M002,P1626,4722,09-06-2023,Cash,Master
TXN00282,M002,P3430,812,12-04-2023,Cash,Visa
TXN00283,M003,P2448,1009,16-05-2023,UPI,Amex
TXN00284,M001,P0141,1221,12-01-2023,Cash,Master
TXN00285,M002,P2011,2333,14-08-2023,Card,NA
TXN00286,M002,P0356,3672,21-04-2023,UPI,Amex
TXN00287,M003,P0651,2055,03-10-2023,Card,Amex
TXN00288,M002,P2649,1742,14-04-2023,UPI,Master
TXN00289,M002,P4303,4916,07-05-2023,Card,Visa
TXN00290,M002,P2508,4016,08-10-2023,Cash,Amex
TXN00291,M003,P1098,2676,22-06-2023,Card,NA
TXN00292,M001,P0884,3367,09-02-2023,UPI,Amex
TXN00293,M003,P3185,1734,19-02-2023,Card,Visa
TXN00294,M003,P3592,442,17-04-2023,Card,Master
TXN00295,M001,P3732,3078,05-06-2023,Card,Visa
TXN00296,M003,P2813,3020,04-02-2023,Card,Visa
TXN00297,M001,P1395,4654,28-08-2023,UPI,NA
TXN00298,M002,P4897,1009,24-03-2023,Card,Visa
TXN00299,M003,P4415,190,30-11-2023,UPI,Master
TXN00300,M001,P3456,3319,31-12-2023,Card,Master
TXN00301,M001,P1092,2442,27-12-2023,Card,Amex
TXN00302,M003,P3760,2665,13-05-2023,UPI,Amex
TXN00303,M002,P4305,1074,09-07-2023,UPI,Amex
TXN00304,M002,P2431,605,14-09-2023,UPI,Visa
TXN00305,M003,P0607,1335,28-03-2023,Card,Master
TXN00306,M003,P0397,2301,08-08-2023,Cash,Master
TXN00307,M001,P3723,145,03-06-2023,Card,NA
TXN00308,M001,P2403,1087,29-05-2023,Card,NA
TXN00309,M002,P0397,1506,19-07-2023,Card,Amex
TXN00310,M003,P0715,3265,15-10-2023,UPI,Visa
TXN00311,M002,P0862,2664,19-04-2023,Card,Master
TXN00312,M002,P0974,3882,30-12-2023,Cash,NA
TXN00313,M001,P4028,1374,29-03-2023,Cash,Visa
TXN00314,M003,P3920,1377,20-05-2023,UPI,Visa
TXN00315,M003,P0061,3293,01-01-2023,Card,NA
TXN00316,M001,P3543,2100,11-08-2023,UPI,Amex
TXN00317,M001,P1020,1864,20-01-2023,UPI,Master
TXN00318,M002,P2060,1928,22-10-2023,Card,NA
TXN00319,M002,P2155,3938,05-01-2023,Card,NA
TXN00320,M001,P0345,338,28-06-2023,Cash,NA
TXN00321,M002,P2280,2041,12-03-2023,Card,Master
TXN00322,M001,P3035,2398,25-07-2023,Cash,NA
TXN00323,M002,P0415,1155,03-01-2023,Card,Amex
TXN00324,M003,P4632,3357,06-06-2023,Cash,NA
TXN00325,M001,P2313,3758,14-02-2023,Cash,Master
TXN00326,M001,P4592,805,17-04-2023,Card,NA
TXN00327,M002,P3800,3597,19-08-2023,Card,Amex
TXN00328,M001,P1488,1781,14-07-2023,Card,Visa
TXN00329,M003,P0444,2758,05-09-2023,Cash,NA
TXN00330,M002,P2161,423,24-11-2023,Cash,Master
TXN00331,M003,P0825,4139,26-01-2023,UPI,NA
TXN00332,M003,P4011,177,10-08-2023,Card,Master
TXN00333,M003,P3063,3373,21-02-2023,Card,Master
TXN00334,M003,P2483,1055,17-08-2023,Cash,Visa
TXN00335,M003,P0185,3902,21-02-2023,Cash,Amex
TXN00336,M002,P1100,4149,09-10-2023,UPI,NA
TXN00337,M001,P0712,1850,21-06-2023,Card,NA
TXN00338,M003,P1116,640,14-02-2023,Cash,Master
TXN00339,M002,P2526,252,12-12-2023,Cash,Visa
TXN00340,M002,P3309,3119,27-11-2023,Cash,Visa
TXN00341,M003,P2259,1654,07-02-2023,Card,Visa
TXN00342,M001,P3567,913,19-03-2023,Cash,Amex
TXN00343,M002,P0368,2850,30-09-2023,Cash,Visa
TXN00344,M002,P0193,2162,04-01-2023,Cash,Amex
TXN00345,M003,P0408,2024,08-10-2023,UPI,NA
TXN00346,M001,P0638,2626,15-07-2023,Card,Visa
TXN00347,M001,P3369,1490,16-02-2023,Card,Master
TXN00348,M003,P1881,381,11-04-2023,Cash,Amex
TXN00349,M002,P2623,915,14-11-2023,UPI,Visa
TXN00350,M002,P0945,299,15-08-2023,UPI,NA
TXN00351,M003,P3699,1680,10-12-2023,UPI,Visa
TXN00352,M002,P0146,2457,27-04-2023,Cash,Visa
TXN00353,M001,P0425,1911,17-10-2023,Cash,Visa
TXN00354,M002,P2864,845,19-11-2023,UPI,Visa
TXN00355,M003,P2937,2125,25-05-2023,Card,NA
TXN00356,M001,P0760,1757,07-07-2023,UPI,Visa
TXN00357,M003,P2954,2060,17-08-2023,UPI,NA
TXN00358,M001,P4257,808,20-09-2023,Card,Visa
TXN00359,M002,P2981,3567,08-06-2023,Card,NA
TXN00360,M003,P0893,1153,18-09-2023,Cash,Master
TXN00361,M002,P4837,3564,12-03-2023,Cash,Amex
TXN00362,M003,P4884,3270,31-03-2023,Cash,Visa
TXN00363,M003,P4764,3114,12-09-2023,Cash,Amex
TXN00364,M002,P3216,3897,11-11-2023,Card,NA
TXN00365,M002,P1277,2119,24-05-2023,Cash,Master
TXN00366,M003,P3640,1137,02-09-2023,UPI,Visa
TXN00367,M001,P4405,924,23-01-2023,UPI,Amex
TXN00368,M002,P3216,471,14-04-2023,Card,Amex
TXN00369,M001,P2413,3550,22-06-2023,Card,Master
TXN00370,M001,P2432,1753,22-12-2023,Cash,Amex
TXN00371,M002,P1840,3146,14-07-2023,Cash,Amex
TXN00372,M002,P0712,2585,22-12-2023,Card,Amex
TXN00373,M001,P2685,4094,30-01-2023,Cash,NA
TXN00374,M002,P1962,3020,05-03-2023,UPI,Visa
TXN00375,M001,P1127,2973,17-02-2023,Cash,Master
TXN00376,M002,P0681,2729,21-07-2023,Cash,Master
TXN00377,M003,P1878,2802,01-01-2023,Cash,Master
TXN00378,M002,P3569,785,21-10-2023,Card,Amex
TXN00379,M001,P1470,3037,27-05-2023,UPI,Visa
TXN00380,M001,P1699,2542,22-04-2023,Cash,NA
TXN00381,M003,P4144,3015,07-01-2023,Card,Visa
TXN00382,M001,P0987,4405,03-03-2023,UPI,Master
TXN00383,M003,P4360,1006,28-02-2023,Card,NA
TXN00384,M002,P0150,458,01-12-2023,Card,Master
TXN00385,M002,P2075,2306,08-02-2023,Card,NA
TXN00386,M003,P4027,1212,12-09-2023,UPI,Amex
TXN00387,M002,P0485,3209,02-07-2023,UPI,Visa
TXN00388,M003,P0791,4122,20-12-2023,Card,Visa
TXN00389,M003,P1053,1649,03-11-2023,Cash,Amex
TXN00390,M002,P3856,4289,31-08-2023,Cash,Master
TXN00391,M001,P4998,4750,21-10-2023,UPI,Visa
TXN00392,M003,P4420,3816,19-06-2023,Cash,Visa
TXN00393,M002,P2234,835,19-10-2023,Cash,Master
TXN00394,M001,P3384,1686,30-07-2023,Cash,Amex
TXN00395,M002,P4117,3124,05-12-2023,UPI,Master
TXN00396,M002,P4838,1471,23-07-2023,Cash,Amex
TXN00397,M003,P0033,4804,06-06-2023,UPI,Master
TXN00398,M003,P4425,3341,13-03-2023,Card,Visa
TXN00399,M003,P3240,765,29-08-2023,Cash,Master
TXN00400,M002,P3739,2646,26-08-2023,Card,Master
TXN00401,M001,P2713,3087,26-11-2023,Cash,Master
TXN00402,M003,P1769,556,28-11-2023,UPI,Master
TXN00403,M001,P2970,198,06-08-2023,Cash,Visa
TXN00404,M002,P1748,2141,06-09-2023,UPI,NA
TXN00405,M001,P1026,1047,10-06-2023,UPI,NA
TXN00406,M003,P3576,2537,28-11-2023,UPI,Master
TXN00407,M003,P0197,2405,26-04-2023,Cash,Visa
TXN00408,M002,P1479,191,17-11-2023,UPI,Master
TXN00409,M003,P4860,2177,18-03-2023,Card,Visa
TXN00410,M001,P2923,4998,10-03-2023,Cash,Visa
TXN00411,M002,P2795,3494,25-06-2023,UPI,Amex
TXN00412,M001,P3234,2891,27-06-2023,UPI,Visa
TXN00413,M002,P2121,1845,10-10-2023,Cash,NA
TXN00414,M003,P4845,2758,31-03-2023,Cash,Visa
TXN00415,M002,P2897,194,24-11-2023,Cash,NA
TXN00416,M003,P2007,220,17-02-2023,Card,Visa
TXN00417,M001,P0830,1139,25-10-2023,Cash,Amex
TXN00418,M003,P1308,479,09-02-2023,UPI,Amex
TXN00419,M002,P4803,1227,18-02-2023,UPI,Visa
TXN00420,M001,P4873,3502,15-03-2023,Card,Visa
TXN00421,M001,P1284,3321,23-02-2023,Cash,NA
TXN00422,M003,P3514,1950,18-04-2023,Card,Amex
TXN00423,M001,P4007,3481,24-08-2023,Cash,Visa
TXN00424,M002,P1201,4424,16-09-2023,Card,Master
TXN00425,M003,P5000,1379,30-04-2023,UPI,NA
TXN00426,M003,P2139,3311,14-04-2023,Cash,Visa
TXN00427,M002,P0664,4031,28-12-2023,UPI,Amex
TXN00428,M001,P4142,2115,20-12-2023,Cash,Amex
TXN00429,M001,P4801,3983,09-09-2023,Cash,Amex
TXN00430,M002,P4714,954,15-10-2023,Card,Amex
TXN00431,M003,P0307,4376,12-05-2023,Cash,NA
TXN00432,M001,P1227,3264,25-01-2023,Cash,Visa
TXN00433,M002,P1825,2347,03-06-2023,UPI,NA
TXN00434,M003,P1848,888,10-08-2023,Cash,Amex
TXN00435,M001,P2880,2066,18-06-2023,Card,Amex
TXN00436,M001,P4092,2625,04-10-2023,Cash,Visa
TXN00437,M003,P2574,1496,30-11-2023,UPI,NA
TXN00438,M002,P3984,738,12-07-2023,Card,NA
TXN00439,M002,P2788,2247,06-08-2023,UPI,Amex
TXN00440,M002,P4249,1236,27-01-2023,UPI,Amex
TXN00441,M001,P4099,958,18-01-2023,UPI,Visa
TXN00442,M003,P2024,3795,26-01-2023,UPI,Master
TXN00443,M002,P2097,1721,16-05-2023,UPI,Master
TXN00444,M001,P2665,3606,26-06-2023,Card,NA
TXN00445,M003,P1431,1769,31-03-2023,Cash,NA
TXN00446,M002,P1964,2190,02-06-2023,Card,Amex
TXN00447,M003,P2980,4402,18-05-2023,UPI,NA
TXN00448,M003,P4216,839,15-08-2023,Card,Master
TXN00449,M003,P0733,2310,28-10-2023,UPI,Master
TXN00450,M001,P2332,1905,10-04-2023,Card,Visa
TXN00451,M003,P4481,2189,12-08-2023,Cash,NA
TXN00452,M001,P1303,2698,08-09-2023,UPI,Amex
TXN00453,M002,P3014,1923,03-10-2023,Card,Master
TXN00454,M001,P1892,908,12-08-2023,Card,Visa
TXN00455,M003,P4685,2666,06-09-2023,UPI,NA
TXN00456,M001,P0928,3483,16-03-2023,UPI,NA
TXN00457,M003,P2933,2824,01-07-2023,Cash,Visa
TXN00458,M003,P1750,3185,23-05-2023,Card,NA
TXN00459,M001,P0560,3967,10-07-2023,Card,Master
TXN00460,M001,P3192,4231,25-03-2023,Cash,Visa
TXN00461,M001,P4570,1669,28-04-2023,Card,Master
TXN00462,M002,P1939,3084,03-06-2023,Card,Master
TXN00463,M002,P0728,755,26-03-2023,Card,Master
TXN00464,M002,P0158,4277,22-10-2023,Card,Master
